Time,Pressure,Trend Pressure,Detrended Pressure
340.3552944,1688.881368,2308.1105672,-619.2291991999998
340.5212612,1689.326174,2307.7786336,-618.4524595999999
342.856002,1691.807444,2303.109152,-611.301708
345.665736,1696.116303,2297.489684,-601.3733810000001
346.2448867,1696.873448,2296.3313826,-599.4579345999998
346.4134566,1697.080637,2295.9942428,-598.9136057999999
347.9960292,1699.398097,2292.8290976,-593.4310005999998
348.0765064,1698.711967,2292.6681432,-593.9561762000001
348.8296817,1700.454084,2291.1617926,-590.7077085999999
349.4193951,1700.743658,2289.9823658,-589.2387077999999
350.1076526,1701.603695,2288.6058508,-587.0021558000001
351.107492,1702.867967,2286.606172,-583.7382049999999
354.5328519,1706.631713,2279.7554522,-573.1237392
356.953671,1709.943086,2274.913814,-564.970728
358.4454096,1711.545906,2271.9303368,-560.3844308
358.6046865,1711.869135,2271.611783,-559.7426479999999
358.8393365,1712.359346,2271.142483,-558.7831370000001
359.7366901,1713.027111,2269.3477758,-556.3206647999998
361.1405911,1714.865255,2266.5399738,-551.6747188000002
362.1565787,1716.080656,2264.5079986,-548.4273426
362.9124075,1716.830953,2262.996341,-546.1653880000001
366.5910235,1721.185577,2255.6391089999997,-534.4535319999998
368.3213908,1723.09915,2252.1783744,-529.0792243999999
368.7273365,1723.22219,2251.366483,-528.1442929999998
369.6410015,1724.808817,2249.5391529999997,-524.7303359999996
370.9444186,1726.010035,2246.9323188,-520.9222837999998
371.6780855,1726.261185,2245.464985,-519.2038
372.8990556,1728.832453,2243.0230448,-514.1905918000002
373.2335447,1729.053813,2242.3540666,-513.3002535999999
375.325099,1730.962212,2238.1709579999997,-507.2087459999998
377.6744336,1733.810985,2233.4722888,-499.66130380000004
377.7513133,1733.068908,2233.3185294,-500.2496214
377.8303001,1733.857107,2233.1605558,-499.30344880000007
379.234005,1734.977342,2230.353146,-495.375804
381.6908747,1737.42161,2225.4394066,-488.0177965999999
384.8581404,1741.345613,2219.1048751999997,-477.75926219999974
387.1965085,1743.878216,2214.428139,-470.54992300000004
387.6972489,1744.383108,2213.4266582,-469.0435502
388.1129909,1744.892558,2212.5951741999997,-467.70261619999974
389.5013096,1746.525618,2209.8185368,-463.29291880000005
392.3475544,1750.035446,2204.1260472,-454.0906011999998
395.5388547,1752.589745,2197.7434466,-445.1537016
395.7162252,1753.137253,2197.3887056,-444.25145259999977
395.8842951,1753.281962,2197.0525658,-443.7706038000001
396.4672906,1754.160282,2195.8865748,-441.7262927999998
397.8433423,1755.0914,2193.1344713999997,-438.0430713999997
397.9280769,1755.781315,2192.9650022,-437.1836872000001
398.5852059,1756.614964,2191.6507442,-435.0357802000001
399.1468592,1757.698074,2190.5274375999998,-432.82936359999985
399.22858,1756.777299,2190.363996,-433.58669699999996
399.9064304,1758.181095,2189.0082952000002,-430.82720020000033
401.0938639,1759.508698,2186.6334282,-427.1247301999997
401.2570191,1759.669322,2186.3071178,-426.63779580000005
402.5845244,1760.879466,2183.6521072,-422.77264119999995
405.0016554,1763.118482,2178.8178452,-415.6993632000001
405.7908808,1764.193844,2177.2393944,-413.04555040000014
405.964882,1764.484146,2176.891392,-412.407246
406.2216139,1764.945698,2176.3779282,-411.43223020000005
406.3878507,1764.57857,2176.0454546,-411.4668846000002
408.2984107,1767.128028,2172.2243346,-405.09630659999993
408.3841756,1766.435644,2172.0528048,-405.6171608000002
414.0404074,1772.690287,2160.7403412,-388.0500542
414.1999607,1771.991754,2160.4212346,-388.42948060000003
414.6258399,1773.166596,2159.5694762,-386.4028801999998
415.2099959,1773.609896,2158.4011642,-384.7912682000001
415.6149879,1774.407514,2157.5911802,-383.18366620000006
418.1387259,1776.591055,2152.5437042,-375.95264919999977
418.9225733,1777.575462,2150.9760094,-373.4005473999998
419.0116812,1777.001531,2150.7977935999997,-373.79626259999964
421.0300862,1779.849105,2146.7609836,-366.91187860000014
421.5267357,1779.429076,2145.7676846,-366.33860860000004
425.8235152,1784.799186,2137.1741256,-352.37493960000006
433.7484673,1792.461306,2121.3242214,-328.86291540000025
434.179405,1793.195924,2120.4623460000003,-327.26642200000015
435.5517536,1794.373495,2117.7176488,-323.34415379999996
436.1894015,1795.014223,2116.442353,-321.42813
436.7935835,1795.997774,2115.233989,-319.2362149999999
437.8829675,1796.818388,2113.055221,-316.23683300000016
439.0320283,1798.118791,2110.7570994,-312.6383083999997
440.5105122,1799.7291,2107.8001316,-308.07103159999997
443.6517767,1802.136694,2101.5176026,-299.3809085999999
444.0646492,1803.582172,2100.6918576,-297.1096855999999
445.8782802,1805.098845,2097.0645956,-291.96575059999986
446.6297908,1805.582111,2095.5615743999997,-289.97946339999976
451.0072515,1810.333758,2086.806653,-276.4728950000001
451.3389661,1810.069174,2086.1432237999998,-276.0740497999998
456.4735942,1815.522289,2075.8739676,-260.3516786
456.6453724,1816.070306,2075.5304112,-259.4601051999998
457.9441841,1816.442585,2072.9327878,-256.4902027999999
458.0229668,1817.070441,2072.7752224,-255.7047814
458.1047731,1816.510701,2072.6116098,-256.1009088000003
458.2694576,1816.976071,2072.2822408,-255.30616980000013
464.5403453,1823.411679,2059.7404654,-236.32878640000013
465.025849,1823.402634,2058.7694579999998,-235.36682399999972
465.1916094,1823.367356,2058.4379372,-235.07058119999988
465.271749,1823.885185,2058.277658,-234.39247299999988
471.1536654,1829.816662,2046.5138252,-216.69716319999998
471.3951219,1830.620066,2046.0309121999999,-215.41084619999992
472.4156948,1830.884461,2043.9897664,-213.1053053999999
472.8517829,1831.045754,2043.1175902,-212.0718362
472.9371746,1831.573148,2042.9468068,-211.37365880000016
474.6552785,1833.805104,2039.510599,-205.70549499999993
476.2739554,1835.186831,2036.2732452,-201.08641420000004
479.5712379,1838.379466,2029.6786802,-191.29921419999982
484.0287482,1842.78665,2020.7636596,-177.97700959999997
488.3763244,1847.053361,2012.0685072,-165.01514620000012
490.9468617,1849.50628,2006.9274326,-157.4211525999999
491.8751515,1850.200727,2005.070853,-154.87012600000003
492.2966672,1851.189589,2004.2278216,-153.0382325999999
492.6350884,1851.164439,2003.5509792,-152.38654020000013
494.0307832,1852.6218,2000.7595896,-148.13778960000013
494.3657843,1852.829568,2000.0895874,-147.26001939999992
495.2266522,1853.832022,1998.3678516,-144.53582959999994
495.4746174,1853.267148,1997.8719212,-144.60477320000018
500.4393036,1858.587148,1987.9425488,-129.35540079999987
500.5202474,1858.081551,1987.7806612,-129.69911019999995
500.9195496,1858.004179,1986.9820568,-128.9778778
501.0112141,1858.71639,1986.7987278,-128.0823378
502.1347835,1860.203202,1984.551589,-124.348387
502.5614058,1860.770035,1983.6983444,-122.92830939999999
505.6663958,1863.703553,1977.4883644000001,-113.78481140000008
505.7542601,1863.144557,1977.3126358,-114.16807879999988
508.2001442,1865.696589,1972.4208675999998,-106.72427859999993
509.9125808,1867.134899,1968.9959944,-101.86109540000007
510.2570177,1867.475717,1968.3071206,-100.83140359999993
510.3437849,1866.957694,1968.1335862,-101.17589220000013
512.8468903,1869.707905,1963.1273754,-93.41947039999991
513.1874642,1870.161482,1962.4462276,-92.28474559999995
514.5960904,1871.707126,1959.6289752,-87.9218492
514.6744873,1871.099014,1959.4721814,-88.37316740000006
515.6588951,1872.206371,1957.5033658,-85.2969948
522.6030271,1878.57946,1943.6151018,-65.03564180000012
523.4612526,1878.769878,1941.8986508,-63.12877279999998
523.8062285,1879.806229,1941.208699,-61.402469999999994
523.8950124,1879.240227,1941.0311312,-61.790904199999886
529.5412074,1884.581679,1929.7387412,-45.157062200000155
530.5475419,1885.339637,1927.7260721999999,-42.38643519999982
532.5904123,1887.24511,1923.6403314,-36.395221399999855
534.1966186,1887.57666,1920.4279188,-32.851258800000096
535.0415937,1889.010523,1918.7379686,-29.72744560000001
537.2640867,1891.106503,1914.2929826,-23.186479599999984
538.666118,1891.436339,1911.48892,-20.05258099999992
538.9215162,1892.192491,1910.9781236,-18.78563259999987
539.172381,1892.210248,1910.476394,-18.266145999999935
540.3761489,1893.970147,1908.0688582,-14.098711200000025
540.460094,1893.417784,1907.900968,-14.483183999999937
540.8675014,1893.294784,1907.0861532,-13.791369199999963
543.6799795,1896.399891,1901.461197,-5.061306000000059
547.0605305,1898.214504,1894.700095,3.5144090000001142
547.2275408,1899.051688,1894.3660744,4.685613600000124
549.2879768,1899.998768,1890.2452024,9.753565600000002
549.3648515,1900.525886,1890.091453,10.434432999999899
551.0863033,1902.013268,1886.6485493999999,15.36471860000006
551.4156995,1902.309442,1885.989757,16.319684999999936
552.4337796,1902.7636,1883.9535968,18.810003199999983
555.4402436,1905.503841,1877.9406688,27.563172200000054
555.694211,1905.718018,1877.432734,28.285284000000047
556.7937946,1906.370132,1875.2335668,31.13656519999995
557.5476494,1907.176172,1873.7258572,33.45031479999989
557.6353811,1906.515371,1873.5503938,32.96497720000002
560.4710127,1909.011559,1867.8791306,41.13242839999998
561.4607307,1909.512816,1865.8996946,43.613121399999955
561.6251916,1909.984447,1865.5707728,44.41367420000006
562.9402523,1911.502811,1862.9406514,48.562159600000086
563.0252488,1910.805996,1862.7706584,48.03533760000005
563.3623384,1911.196734,1862.0964792,49.10025480000013
564.6980145,1911.992972,1859.425127,52.567845000000034
565.0313265,1912.600663,1858.758503,53.84215999999992
567.4502212,1913.984142,1853.9207136,60.06342840000002
568.7685718,1914.389353,1851.2840124,63.10534060000009
571.8497512,1917.320001,1845.1216536,72.1983474000001
573.8631104,1918.501641,1841.0949352,77.40670580000005
575.48966,1919.625121,1837.841836,81.78328499999998
577.5149743,1892.714767,1833.7912074,58.92355959999986
