Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP
hours,psi,psi,psi,psi,psi,psi,psi,psi,psi,psi
3.629853122,2236.453826,1590.131823,1307.970115,1701.556247,1601.10567,1297.524694,1148.214746,1318.830429,295.2905608,1701.556247
3.706575262,2243.174836,1589.689962,1308.156613,1703.502957,1604.970422,1292.355911,1147.588415,1324.299346,300.5088852,1703.502957
3.783825723,2237.785626,1590.643751,1308.772373,1703.602176,1623.019592,1299.816286,1155.297352,1333.888714,297.201098,1703.602176
3.866407648,2235.547064,1589.452872,1307.865884,1701.452769,,,,1324.233606,298.7300215,1701.452769
3.866674722,,,,,1643.784403,1325.697632,1156.952485,,,
3.957078302,2241.483936,1589.960864,1307.284391,1701.584249,1660.453696,1343.990005,1168.784464,1321.454544,299.382417,1701.584249
4.035028881,2229.135007,1589.646022,1307.32818,1703.486084,1664.659522,1356.183766,1164.309985,1330.144768,289.9669129,1703.486084
4.122410084,2238.884327,1589.785427,1308.169276,1703.654788,1660.805901,1335.590854,1162.558665,1331.503413,295.9201237,1703.654788
4.212693043,2218.753988,1589.282845,1307.590561,1702.860184,1653.818899,1315.286303,1149.593262,1319.360106,300.0009018,1702.860184
4.30014995,2236.936658,1589.680739,1307.940189,1701.720197,1644.431964,1295.704115,1148.480545,1324.427566,301.4289741,1701.720197
4.383795677,2216.671065,,,1703.334324,,,,,293.2498642,1703.334324
4.3840862,,1589.830858,1308.268391,,1645.103618,1286.489292,1152.600375,1329.248441,,
4.460039855,2243.040051,1591.019965,1308.563304,1703.0185,1636.960642,1292.440846,1148.717162,1325.228838,298.4541346,1703.0185
4.539543886,,1590.061431,1308.150394,,,,,1320.586901,,
4.539805582,2224.559354,,,1702.79502,1615.001607,1295.189416,1154.31651,,295.5827706,1702.79502
4.621404361,2242.443921,1589.809301,1307.972229,1702.582135,1596.090408,1311.642583,1166.828815,1327.666465,301.3920696,1702.582135
4.698365702,2235.722935,1590.707596,1307.492852,1702.966694,1595.673652,1333.715324,1171.69964,1333.537407,298.6506865,1702.966694
4.788164971,2239.659734,1590.521647,1307.314553,1703.821385,1602.80555,1347.407201,1169.131153,1322.459105,292.2480109,1703.821385
4.870333098,2243.363565,1589.469946,1307.69268,1702.63918,1611.148223,1351.477535,1166.916443,1324.893839,300.1216676,1702.63918
4.95568984,2233.090554,1589.880916,1308.392367,1701.924042,1615.665851,1327.082441,1159.741782,1329.562599,300.6403087,1701.924042
5.03260392,2242.242568,1590.026035,1308.801113,1702.596708,1606.656707,1302.505043,1155.322334,1327.617919,303.6181054,1702.596708
5.11567686,2224.0418,1589.957214,1307.946828,1703.635806,1596.349367,1279.398929,1148.908255,1320.562373,296.3060308,1703.635806
5.196621255,2239.600011,1590.097314,1307.298516,1702.599554,1604.72821,1287.808182,1149.165951,1327.056153,291.5983832,1702.599554
5.278539203,2217.374987,1591.046983,1307.931365,1702.412856,1626.984861,1293.851225,1155.653156,1331.488499,298.1623427,1702.412856
