Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP
hours,psi,psi,psi,psi,psi,psi,psi,psi,psi,psi
87.92605439,,1752.096901,1308.309747,,1607.320046,1297.810724,1156.370104,1329.27889,,
87.92630646,2237.794066,,,1707.695965,,,,,1250.404294,1707.695965
88.00628141,2221.439487,1752.374515,1308.25691,1707.496198,1609.184155,1315.790105,1164.435881,1317.949749,1250.433522,1707.496198
88.09265748,2236.58691,,,1706.573946,1604.79402,1335.188741,1164.771153,,1250.527889,1706.573946
88.09292321,,1752.443911,1308.986779,,,,,1324.296312,,
88.17777472,2218.034035,1752.911892,1306.928939,1707.396503,1601.344029,1341.093804,1159.471929,1331.487474,1250.555173,1707.396503
88.2626038,2232.853871,1753.239216,1307.238933,1708.153645,1601.046084,1317.35945,1152.274307,1321.544017,1250.63059,1708.153645
88.35130459,2223.259944,1753.957827,1308.560853,1707.146605,1608.157548,1285.07489,1143.554454,1317.921161,1250.609409,1707.146605
88.44256814,2233.375371,1754.261158,1308.444662,1706.864904,1627.002604,1273.771164,1143.099971,1327.116456,1250.719481,1706.864904
88.52859134,,,,,1646.045371,1281.556473,1141.363577,,,
88.52884251,2228.078076,1754.652275,1308.57612,1706.601064,,,,1329.257665,1250.740598,1706.601064
88.60975485,2229.630263,1754.85712,,1708.033481,1659.47638,1290.97354,1143.281873,1318.331487,1250.769184,1708.033481
88.68691631,2234.840269,1755.175555,1308.341048,1707.258547,1659.65329,1298.785288,1155.574702,1322.9038,1250.780216,1707.258547
88.76927855,2226.407213,1755.486696,1308.091554,1707.244983,1661.116612,1310.177188,1159.323809,1329.722486,1250.849081,1707.244983
88.85319467,2241.677718,1756.223846,1308.890778,1708.243665,1650.894363,1329.967864,1158.957439,1322.979451,1250.879937,1708.243665
88.93302151,2225.017098,1756.356834,1307.393851,1707.600676,1645.927892,1341.740808,1157.326164,1316.881982,1250.934687,1707.600676
89.01263443,2240.746259,1756.829996,1307.372338,1707.749466,1643.879724,1321.497735,1154.643313,1327.049302,1250.987369,1707.749466
89.09016026,2217.780243,1756.669398,1308.45597,1707.191167,1627.853652,1304.543519,1146.200904,1331.110271,1251.023609,1707.191167
89.17833497,2238.786467,,1309.051547,1706.997859,1610.25465,1277.414981,1139.760847,1319.323483,1251.004163,1706.997859
89.26594214,2223.342456,1757.459892,1309.253089,1707.475228,1594.171784,1276.274263,1137.37008,1321.485928,1251.070022,1707.475228
89.34158468,2236.521022,1757.710625,1308.474315,1708.385178,1600.805848,1287.736177,1142.684455,1328.969196,1251.163547,1708.385178
89.43000103,2226.089623,1758.154886,1308.120127,1707.874158,1606.172215,1293.745923,1152.560609,1326.417574,1251.234248,1707.874158
89.52054624,,1758.53787,1309.209443,,,,,1317.10475,,
89.5208406,2231.186489,,,1708.643741,1609.873779,1303.758947,1160.825982,,1251.218972,1708.643741
89.6119157,2233.393028,,,1708.300137,1606.701167,1321.851522,1164.148414,,1251.297844,1708.300137
89.61221718,,1758.835214,1307.952638,,,,,1325.637508,,
89.69064554,2228.387644,,,1708.400254,1600.278412,1329.156204,1158.550596,,1251.314712,1708.400254
89.69094886,,1758.675418,1308.560917,,,,,1330.754285,,
89.77886002,2240.986043,,,1707.907812,1598.405895,1328.439079,1148.821508,,1251.349971,1707.907812
89.77912447,,1759.02514,,,,,,1320.983598,,
89.85680125,2221.580199,1759.65436,1309.25989,1707.838361,1610.599311,1313.660946,1148.746718,1318.985432,1251.411617,1707.838361
89.93290477,2243.740364,,,1707.567552,1633.9026,1271.69026,1145.094481,,1251.414629,1707.567552
89.93318651,,1760.567536,1308.490729,,,,,1327.781186,,
90.0203465,,1760.691988,1308.430385,,1655.957096,1273.738805,1141.63496,1328.114582,,
90.02060282,2218.985115,,,1707.945372,,,,,1251.48569,1707.945372
90.10150632,2244.466117,1760.254378,1309.150263,1708.018216,,,,1318.903984,1251.57148,1708.018216
90.10176833,,,,,1669.387311,1284.687587,1145.778622,,,
90.18197329,2224.035815,1760.826112,1308.79666,1707.410744,1662.481396,1292.962104,1154.832009,1323.720537,1251.557567,1707.410744
90.25907802,2240.494564,1761.203809,1309.431078,1707.685846,1654.379718,1296.071914,1163.593821,1331.752023,1251.691243,1707.685846
90.33971286,2231.512102,1762.315442,1309.72209,1708.341149,1657.678078,1314.096295,1164.564317,1323.945317,1251.705831,1708.341149
90.42060396,2235.2015,1762.032564,1307.520655,1708.447351,1654.334658,1330.308181,1164.952084,1317.335853,1251.758277,1708.447351
90.50511888,2236.579291,1762.278198,1308.691224,1707.853848,1640.863663,1332.020974,1160.528135,1327.972804,1251.782242,1707.853848
90.58979291,2227.988645,1762.26125,1308.930874,1708.139325,1630.589894,1318.069459,1151.749954,1331.6063,1251.796777,1708.139325
90.66501955,2239.106728,1762.842845,1308.56014,1708.870068,1605.785338,1285.955174,1150.822962,1318.840278,1251.87394,1708.870068
90.74159182,2220.97245,1762.86876,1308.733504,1708.33947,1602.007817,1272.079581,1146.315526,1323.135121,1251.888851,1708.33947
90.82793478,2242.250663,1763.431791,1309.098598,1707.384228,1605.009315,1284.012492,1143.105599,1327.728222,1251.973622,1707.384228
90.90534645,2216.923063,1763.835605,,1707.14418,1609.345746,1293.299821,1155.158775,1323.246111,1251.959792,1707.14418
90.9890251,2243.953894,1764.202242,,1708.504888,1611.28856,1296.45262,1164.800131,1317.624855,1252.044366,1708.504888
91.07942842,2223.165153,1764.360906,1308.789251,1708.228694,1609.929318,1308.223085,1172.757529,1325.312248,1252.047507,1708.228694
91.15848291,2242.747759,1764.231804,1309.278774,1708.128633,1604.299885,1326.606264,1170.282712,1334.474932,1252.11858,1708.128633
91.24396699,2232.987513,,,1708.003794,,,,,1252.197311,1708.003794
91.24424205,,1764.753485,1308.961041,,1604.670765,1337.713575,1162.653665,1320.140722,,
91.33062353,,,,,1615.384169,1316.32988,1149.095342,,,
91.33091786,2239.28473,1765.179463,1309.028834,1708.399208,,,,1319.871215,1252.197337,1708.399208
91.42150547,2241.304775,1765.41352,1308.57231,1708.541693,1633.38499,1284.023928,1145.99604,1327.877211,1252.278055,1708.541693
91.49692484,,1766.037038,,,1656.00835,1273.459583,1142.035187,1326.429674,,
91.49721481,2229.07075,,,1708.142577,,,,,1252.359129,1708.142577
91.5751151,,,1309.658516,,,,,1317.279853,,
91.57540973,2241.817449,,,1707.774852,1664.264211,1282.285994,1145.240326,,1252.329338,1707.774852
91.66491231,2220.311525,1766.349793,1310.735879,1708.199999,1659.836473,1296.568287,1155.91713,1322.789018,1252.353209,1708.199999
91.74939073,2243.786884,1766.358072,1309.034658,1708.416576,1660.365269,1298.226373,1164.647231,1332.26095,1252.518889,1708.416576
91.83483735,2217.668084,1766.485688,1308.920407,1708.794795,1655.40624,1304.689599,1176.231016,1322.628187,1252.52673,1708.794795
91.91530225,2243.800637,1767.107822,1308.757338,1707.158928,1647.408872,1325.051451,1166.0548,1318.149476,1252.560413,1707.158928
92.00519284,2219.775347,1767.411033,1309.59572,1708.536219,1641.343996,1334.313141,1163.014484,1327.050764,1252.64416,1708.536219
92.08239532,2241.987257,1767.794758,1309.750285,1708.807024,1627.72365,1318.101222,1151.312872,1330.203136,1252.603626,1708.807024
92.17200193,2236.480008,,1309.892366,1708.164672,1604.156889,1287.925216,1147.316037,1317.810808,1252.718207,1708.164672
92.26062037,2238.164738,1768.647689,,1708.154599,1597.153713,1273.36173,1141.620348,1320.258102,1252.770459,1708.154599
92.34847814,2240.325051,1768.792774,1309.267664,1708.734114,1605.187027,1280.762747,1145.387085,1331.16234,1252.738179,1708.734114
92.43253659,2232.145424,1769.176203,1308.571454,1708.459813,1606.792515,1295.007646,1152.161621,1325.446878,1252.884043,1708.459813
92.5136031,2249.155871,1769.020178,1309.719147,,1614.110977,1300.924737,1161.407691,1316.661346,1252.883172,
92.59308721,2225.188157,1769.457477,1309.263954,1708.252449,1614.990474,1304.972216,1171.388989,1325.638621,1252.926834,1708.252449
92.67342634,2246.851152,,1309.716544,1708.951452,1607.678732,1325.379761,1167.857155,1328.896723,1253.053467,1708.951452
92.76262673,2220.293702,1770.104536,1311.037556,1708.156801,1605.478272,1332.388135,1162.453988,1320.65802,1253.088632,1708.156801
92.84777787,2240.42522,1770.267162,1309.589877,1708.537812,1614.577836,1316.257177,1152.011454,1318.175751,1253.098069,1708.537812
92.93515113,2214.161908,1770.517935,1308.59208,,,,,1327.715419,1253.191822,
92.93540934,,,,,1635.205412,1295.923236,1145.806799,,,
93.02664244,2237.585542,1770.802568,1309.491128,1709.010748,1659.177172,1270.164832,1141.687596,1328.444629,1253.211272,1709.010748
93.10967246,2222.516779,,,1709.247641,1668.777763,1276.877046,1144.01523,,1253.284678,1709.247641
93.10995562,,1771.256085,1311.064701,,,,,1316.571573,,
93.19897213,2237.271124,,,1709.461131,1661.908731,1291.89504,1148.528126,,1253.328039,1709.461131
93.19925095,,1771.459428,1308.981337,,,,,1322.612087,,
93.28671675,2235.266907,1771.658134,1308.703797,1708.209371,1652.38508,1299.544565,1158.173508,1327.004509,1253.35836,1708.209371
93.37623648,,1771.475545,1309.891316,,,,,1323.01728,,
93.37649344,2231.974599,,,1708.076107,1643.100805,1302.187296,1166.233415,,1253.458682,1708.076107
93.45980896,2242.598111,1771.865725,1310.044289,1708.550284,1648.19424,1320.528292,1166.32516,1318.012856,1253.462618,1708.550284
93.53889776,2227.985356,1772.769057,1308.764459,,1635.028237,1329.960875,1163.976816,1325.636472,1253.599727,
93.61635917,2244.808238,,1310.039128,1708.250313,1619.698286,1322.821042,1151.538427,1332.68508,1253.601582,1708.250313
93.700596,2224.012605,1772.614444,1308.828204,1708.712404,1595.827796,1303.906114,1146.015446,1319.255692,1253.620248,1708.712404
93.78014088,2245.464946,1773.043071,1309.687255,1707.93696,1601.804426,1265.90153,1142.469368,1320.942473,1253.687654,1707.93696
93.86075251,2221.937984,1773.279584,1309.415935,1708.480025,1606.70913,1276.460981,1140.0698,1328.208869,1253.775389,1708.480025
93.9421757,2236.448409,1773.858485,1309.168907,1709.923,1606.385042,1290.390916,1142.262031,1325.59267,1253.804469,1709.923
94.03069701,2219.526707,1774.257788,1309.459215,1709.635303,1605.007664,1298.208469,1154.640494,1315.441456,1253.909723,1709.635303
94.11584374,2234.369853,,,1708.519069,1599.830678,1297.790889,1159.289495,,1253.873621,1708.519069
94.11609627,,1774.16362,1309.689328,,,,,1324.660039,,
94.19509485,2225.751518,1774.310034,1309.414027,1708.25517,1600.484285,1313.412598,1162.283053,1332.12308,1253.974564,1708.25517
94.2759399,2233.83359,1774.752438,1308.610956,1709.663739,1610.348378,1331.10645,1160.082498,1320.574564,1254.006183,1709.663739
94.35603944,2233.924329,1775.06023,1309.22096,1708.689507,1628.295067,1324.632502,1153.459719,1320.257607,1254.058642,1708.689507
94.44732171,2228.888136,1775.431817,1309.470866,1707.649738,1647.201163,1305.58484,1141.442202,1328.21852,1254.083489,1707.649738
94.53894617,2242.80682,1775.29869,1309.934802,1707.967398,1655.671138,1275.665623,1143.352375,1328.562536,1254.129936,1707.967398
94.62023007,2223.440964,1775.48953,1309.68238,1709.180911,1657.048849,1283.562018,1140.439277,1317.703919,1254.268541,1709.180911
94.69639166,2245.384878,,,1709.369527,1656.80373,1298.716669,1139.670902,,1254.330902,1709.369527
94.6966609,,1775.945527,1310.078702,,,,,1321.797058,,
94.78623912,2225.06927,,,1708.753852,,,,,1254.331466,1708.753852
94.78649706,,1776.394214,1309.124512,,1647.355094,1307.123967,1149.452857,1329.23494,,
94.87339401,2241.984327,,1310.034996,1708.491419,,,,1324.371756,1254.412875,1708.491419
94.87366623,,,,,1647.145335,1310.289607,1155.702145,,,
94.95100845,2222.065129,1776.775798,1310.303336,1709.114364,1641.708292,1324.99776,1159.22005,1318.026649,1254.498909,1709.114364
95.03998094,2238.18462,1777.212057,1311.027481,1709.251905,1623.49243,1342.796867,1155.766067,1325.239469,1254.451791,1709.251905
95.13118747,2231.058089,1777.362691,1309.595299,1708.70758,1602.758085,1345.227136,1150.638723,1329.986222,1254.599494,1708.70758
95.21693133,2234.12452,1777.558683,1310.269639,1708.637418,1589.815264,1320.973043,1152.212845,1319.461662,1254.644889,1708.637418
95.30522526,2234.452626,1777.754692,1308.864931,1708.490965,1597.791021,1293.518814,1145.668158,1320.099362,1254.678253,1708.490965
95.39309527,2224.576358,1778.278782,1309.741238,1709.474308,1601.878789,1299.488159,1141.309813,1327.798315,1254.809869,1709.474308
95.47473844,2233.783106,1778.180251,1311.177386,1709.265208,1602.83049,1299.920801,1142.796184,1327.712683,1254.830681,1709.265208
95.56052567,2220.828271,1778.368183,1310.394737,1708.939773,1598.390578,1310.283285,1148.406422,1317.357876,1254.857913,1708.939773
95.64773452,2241.578611,1778.673832,1308.72493,1708.99684,1595.357788,1312.61839,1155.475351,1324.389545,1254.985058,1708.99684
95.72559892,2220.143335,1778.763575,1309.954517,,1600.624436,1320.786596,1156.248769,1329.287199,1255.056086,
95.80941606,2241.008344,1778.904178,,1708.657902,1615.072591,1339.338374,1155.232445,1321.756244,1255.096664,1708.657902
95.8968944,2223.382176,1779.693846,1310.62863,1709.283937,1638.089196,1347.708059,1151.574667,1316.036832,1255.083798,1709.283937
95.97700658,2238.089777,,1310.593716,1708.873899,1654.841447,1339.664399,1145.836638,1326.210104,1255.237678,1708.873899
96.05460044,2235.414234,1779.628353,1309.8317,1708.692058,1660.824151,1310.896099,1142.295635,1329.871346,1255.252993,1708.692058
96.13145422,2235.960891,,,1709.36538,1656.423185,1307.180726,1147.850543,,1255.375468,1709.36538
96.13170712,,1780.077834,1310.074596,,,,,1320.649942,,
96.21024362,2236.376632,1780.64913,1309.797659,1708.801686,1658.69777,1307.296717,1148.31133,,1255.356439,1708.801686
96.28736108,2226.985666,1780.469879,1310.875586,1708.955321,1652.278318,1308.586392,1151.46412,1329.290859,1255.419098,1708.955321
96.37064398,2235.38384,1780.683833,1309.714445,1708.526254,1648.137714,1308.785475,1158.954886,1327.833126,1255.455323,1708.526254
96.46058896,,,,,1642.566458,1316.991121,1159.826153,,,
96.46087676,2218.789846,1781.34267,1310.679815,1708.845936,,,,1316.593198,1255.554115,1708.845936
96.5432863,2237.335397,1781.604162,1310.203917,1709.150964,,,,1324.121261,1255.546032,1709.150964
96.54357976,,,,,1621.403755,1334.285608,1158.031856,,,
96.63047248,2215.89686,,,1708.646881,,,,,1255.621948,1708.646881
96.63076322,,1780.950285,1311.092277,,1599.476116,1348.40637,1155.488587,1329.572165,,
96.70637851,2236.110817,1782.17199,1310.604472,1708.507177,1595.330688,1344.087487,1148.905842,1320.155636,1255.662518,1708.507177
96.78296019,2216.762306,1782.359096,1310.10599,1708.739626,1593.780547,1325.318864,1148.735808,1317.160815,1255.794366,1708.739626
96.86438298,2236.541245,1782.531915,1309.856888,1710.01715,1602.367645,1312.086933,1147.667899,1328.023302,1255.831714,1710.01715
96.95503378,2225.980409,1782.173032,1310.389317,,1612.882966,1308.168899,1149.317583,1330.03569,1255.862897,
97.03600874,2233.894479,1782.740544,,1708.462902,1613.224547,1306.018432,1155.297877,1318.632845,1255.94634,1708.462902
97.12058519,2235.351789,1783.174117,1310.842361,,1603.037191,1305.074863,1157.19475,1321.700345,1256.049531,
97.20619121,2228.752546,1782.817956,,1709.147694,1596.604478,1312.226381,1156.327714,1330.182719,1256.084413,1709.147694
97.28740995,2238.766682,1782.962796,1309.89123,1708.887486,1607.09943,1328.894094,1157.606405,1323.662022,1256.124854,1708.887486
97.36492947,2222.811651,1783.464859,1310.262145,1709.051202,1634.804681,1343.856415,1152.798278,1316.744066,1256.153881,1709.051202
97.44179475,2239.543987,1783.274263,1310.700716,1708.884499,1664.960192,1346.428826,1149.767487,1324.171275,1256.244619,1708.884499
97.53031537,2219.888139,1783.770458,1311.376908,1709.509774,1682.14791,1335.595467,1147.820505,1326.7142,1256.361688,1709.509774
97.6072982,,1784.626043,1310.500737,,1668.615084,1319.354654,1149.289497,1320.919261,,
97.60758671,2239.828481,,,1708.461988,,,,,1256.43708,1708.461988
97.6915756,2214.681477,1784.723999,1309.938959,1708.851141,1653.468596,1309.394853,1152.590688,1318.726761,1256.437148,1708.851141
97.78028542,2234.419187,1784.898399,1310.05487,1709.907241,1659.305977,1299.581506,1156.586696,1328.555026,1256.548575,1709.907241
97.85569803,2222.384435,,1311.285612,1710.06033,1655.470796,1302.050407,1158.706237,1327.619483,1256.61095,1710.06033
97.93738853,2232.632877,,,1708.450538,1650.071394,1308.587507,1161.291925,,1256.645708,1708.450538
97.93766577,,1785.194304,1311.93515,,,,,1316.956454,,
98.02426209,2226.368571,1785.360504,1311.494283,1708.663943,1637.236206,1319.88483,1160.16486,1323.454939,1256.633123,1708.663943
98.11008318,2229.172701,1785.420011,1309.808887,1710.012865,,,,1329.495502,1256.737257,1710.012865
98.11033726,,,,,1605.902256,1334.484403,1152.255118,,,
98.18667842,,1785.759063,1310.912125,,,,,1323.162124,,
98.18693537,2237.463515,,,1709.424148,1600.457467,1345.286592,1155.17548,,1256.79186,1709.424148
98.27424086,2222.763859,1786.249077,1310.459129,1708.46182,1602.095513,1344.799135,1143.91562,1318.670903,1256.857507,1708.46182
98.36263603,2241.815119,,1310.613402,1708.694466,1608.469899,1327.426524,1153.229643,1325.713931,1256.928131,1708.694466
98.44361734,2220.560497,1786.674214,1310.83818,1710.046708,1609.33375,1313.230865,1153.028275,1327.953128,1257.038411,1710.046708
98.52792799,2241.433595,1786.479504,1310.697521,1709.164649,1606.906269,1299.742368,1157.420926,1318.856515,1257.04255,1709.164649
98.60980012,2222.534007,1787.40677,1310.213611,1708.696677,1603.971466,1295.792399,1162.021678,1320.847375,1257.112098,1708.696677
98.69462065,2241.274702,1786.977672,1311.012039,1710.042368,1602.04393,1306.73539,1161.552802,1328.789783,1257.188697,1710.042368
98.78086926,2228.308039,1787.394101,1310.832109,,1611.135404,1313.491943,1156.905012,1327.03226,1257.280078,
98.86057286,2235.324758,1787.76593,1310.690851,1708.937462,1631.947899,1327.431817,1155.777315,1318.604044,1257.269775,1708.937462
98.94371532,2231.120716,1787.650569,1311.224352,1708.650865,1654.287426,1341.286602,1149.047788,1324.608769,1257.42791,1708.650865
99.03505448,2230.223726,1788.287592,1310.989397,1709.754671,1665.787652,1351.471934,1148.818159,1330.092444,1257.393582,1709.754671
99.12235596,2237.953381,1788.511146,1311.156053,1710.652597,1663.717213,1341.848349,1152.673083,1321.816345,1257.490583,1710.652597
99.19916387,2224.099741,1788.852307,1311.339029,1709.522796,1662.075311,1321.11865,1154.396261,1319.101694,1257.625708,1709.522796
99.28690667,2243.047034,,1311.489337,1708.706685,1655.499545,1308.686671,1157.353479,1327.661708,1257.608673,1708.706685
99.36849107,2218.545371,1789.542292,1310.472441,1709.928752,,,,1327.698875,1257.758518,1709.928752
99.36878033,,,,,1647.544746,1294.028451,1157.316732,,,
99.45476206,2240.880247,1789.374771,1311.682083,1710.023281,1646.285433,1300.749993,1162.088452,1320.005605,1257.806649,1710.023281
99.54253694,,1789.443832,1311.777601,,1634.514453,1311.691368,1159.620724,1323.841556,,
99.54279281,2221.698361,,,1708.644794,,,,,1257.798194,1708.644794
99.63026451,2241.464351,,1312.139026,,1604.578904,1321.01989,1156.14183,1328.344138,1257.887026,
99.71701037,2231.478956,1790.173232,1311.714775,1710.543387,1591.74608,1331.88677,1153.959987,1325.481502,1258.01088,1710.543387
99.79856847,2241.166299,1789.909017,1311.636442,1711.412298,1595.887184,1348.894245,1148.892412,1321.95495,1258.000885,1711.412298
99.87426091,2247.119601,1789.690769,1312.394668,1711.245637,1606.478026,1364.58818,1153.224529,1328.008781,1258.053557,1711.245637
99.96358285,2232.904109,1789.834043,1311.08309,1709.3588,1612.527636,1343.830806,1159.869248,1328.960756,1258.151282,1709.3588
100.0409908,2245.947644,1790.362848,1311.951138,1711.476738,1608.665376,1319.084238,1160.939405,1320.648011,1258.244562,1711.476738
100.1189729,2227.240609,1790.756125,1312.021764,1711.854822,1599.009468,1308.044713,1157.267076,1322.75757,1258.270704,1711.854822
100.1966659,2246.451345,,1310.893065,1711.075722,1594.655875,1294.639995,1160.062796,1327.162507,1258.338929,1711.075722
100.2731027,2220.478923,1790.981908,1311.398438,1709.400771,1602.123815,1306.041699,1156.155619,1325.674782,1258.436279,1709.400771
100.3546743,2237.775934,,1312.10976,1709.857144,1628.26724,1312.186909,1155.819018,1321.909004,1258.490819,1709.857144
100.4437989,2220.965252,,1312.407126,1710.653422,1661.069336,1317.854597,1147.959693,1326.884427,1258.560915,1710.653422
100.5230769,2238.664897,1791.302849,1311.674692,1709.762057,1685.059326,1337.83458,1151.979487,1329.058605,1258.581159,1709.762057
100.6126776,2232.677057,1791.996421,1313.010815,1710.643818,1677.538273,1354.953359,1153.525225,1322.982865,1258.677044,1710.643818
100.6948641,2235.259656,,1311.244775,1710.892303,1649.577817,1358.724843,1159.351523,1323.830161,1258.789797,1710.892303
100.7769533,2239.498798,1792.452402,1310.982972,1711.255176,1660.069644,1335.347871,1161.35297,1326.306576,1258.816123,1711.255176
100.8619097,2231.596068,1792.290027,1312.033652,1710.755384,1672.929994,1312.74965,1161.905352,1326.641684,1258.893929,1710.755384
100.9390812,2245.647424,1792.858862,1312.757791,1711.413556,1657.231303,1301.287381,1159.305594,1322.073281,1258.98891,1711.413556
101.017171,2227.983982,,1312.046579,1711.477214,1647.082098,1296.728674,1157.944079,1325.98242,1259.028702,1711.477214
101.1017455,2246.148702,,,1710.959292,1619.96335,1313.924296,1153.885097,,1259.109298,1710.959292
101.1020421,,1793.326533,1311.933178,,,,,1329.254121,,
101.1836581,2233.661714,,1312.252652,1709.958278,1611.634748,1311.820296,1149.912711,1325.260623,1259.185139,1709.958278
101.2700903,2245.468515,1793.48201,1312.994031,1709.650985,,,,1323.929774,1259.219331,1709.650985
101.2706919,,,,,1614.581027,1320.069429,1151.908467,,,
101.34792,2234.925118,1793.714015,1311.982177,1710.856152,1601.077927,1340.104081,1156.480141,1327.910606,1259.231622,1710.856152
101.4396504,2241.481619,1794.134025,,1710.137779,1598.989426,1356.419159,1156.756197,1328.923692,1259.328725,1710.137779
101.520353,2240.903153,1794.869695,1312.114324,1710.74979,1606.95507,1343.966968,1163.974314,1322.772522,1259.400782,1710.74979
101.6041318,2235.853897,1794.367884,1311.867179,1710.828832,1609.736076,1313.468004,1160.545101,1324.389754,1259.428442,1710.828832
101.6858703,2236.128927,1794.493033,1311.331332,1712.200264,1617.971904,1294.75187,1159.755781,1328.875256,1259.590039,1712.200264
101.7753358,2226.062162,1794.429365,1312.51235,1711.243346,1620.308478,1292.140815,1156.513704,1326.859788,1259.581292,1711.243346
101.8564894,2236.351175,1794.835567,1312.705982,1710.381102,1624.922105,1304.28858,1151.540101,1324.984408,1259.643495,1710.381102
101.947063,2225.789214,1794.927018,1312.864525,1710.860756,1631.890434,1306.323487,1154.628808,1328.21852,1259.776121,1710.860756
102.0335438,2241.960225,1795.320201,1312.439953,1711.369303,1646.708986,1309.118777,1152.203849,1327.117787,1259.765049,1711.369303
102.111012,2229.5445,1794.933622,1312.385738,1711.053514,1657.197608,1328.763064,1155.390619,1324.606034,1259.907042,1711.053514
102.1906058,,1795.900051,,,1664.650752,1348.456562,1160.327845,,,
102.1914296,2242.95233,,,1710.467675,,,,,1259.954414,1710.467675
102.2754894,2236.942704,1795.77585,1312.956907,1709.74926,1652.576379,1345.902966,1159.837591,1328.386003,1260.028247,1709.74926
102.3611463,2241.271256,1795.770807,1312.618416,1710.687899,1644.138472,1318.782276,1161.330827,1326.198706,1260.006135,1710.687899
102.4448079,2242.968114,1796.106413,1312.355955,1711.737463,1640.620801,1296.455283,1161.600858,1325.284915,1260.087831,1711.737463
102.5319663,2237.371388,1796.360971,1313.143241,1712.04343,1620.925726,1288.354993,1157.770146,1328.851642,1260.13107,1712.04343
102.6144189,2242.683495,1796.360064,1312.97234,1711.271031,1611.223653,1301.826057,1155.215483,1327.208008,1260.131213,1711.271031
102.6958353,2230.454813,1796.181107,1312.834052,1710.959146,,,,1325.251963,1260.225267,1710.959146
102.6961272,,,,,1601.887744,1308.988602,1148.076785,,,
102.7817526,2242.533715,1796.449789,1313.457554,1712.053057,,,,,1260.295126,1712.053057
102.7820107,,,,,1608.627832,1310.344048,1154.900175,,,
102.8696782,,1796.557998,1312.980465,,1611.585455,1323.551629,1159.027993,1326.312285,,
102.8699483,2225.644555,,,,,,,,1260.366044,
102.9470621,2238.445392,1796.725121,1312.135608,1710.90728,1614.098563,1348.054854,1160.092395,1325.330166,1260.433717,1710.90728
103.0307911,,1797.413974,1312.78902,,,,,1324.408572,,
103.0310839,2220.925479,,,1710.767471,1606.92323,1358.035635,1161.317073,,1260.498893,1710.767471
103.1081219,2235.428991,1797.177693,1312.963743,1711.37924,1596.08217,1341.579416,1159.137817,1327.541802,1260.505669,1711.37924
103.1927845,2224.657203,1797.083835,1312.391464,1711.132434,1600.012842,1303.737101,1159.704177,1327.090919,1260.558915,1711.132434
103.2776943,2236.523349,1797.38414,1313.503643,1711.616762,1615.382924,1298.334365,1155.491315,1326.296765,1260.715575,1711.616762
103.3543525,2235.162005,1798.174278,1313.121006,1711.971274,1641.539647,1299.110694,1149.008486,1325.382388,1260.763146,1711.971274
103.4428618,2233.916708,1798.229792,1311.618178,1711.564961,1663.525533,1307.221918,1151.279386,1325.759054,1260.789489,1711.564961
103.5264623,2242.795081,1798.3242,1312.790222,1711.852203,1667.080294,1311.846586,1157.36375,1325.611565,1260.777985,1711.852203
103.6147083,2229.843777,1798.209695,,1711.615452,1652.685793,1317.494562,1161.049045,,1260.909093,1711.615452
103.6994035,2244.427781,1798.936857,1312.922138,1712.226599,1653.075734,1337.18986,1159.240508,1327.068082,1260.937556,1712.226599
103.7838699,2229.492415,1798.525614,1312.549323,1711.804339,1655.293337,1360.254222,1160.731979,1327.450594,1260.989765,1711.804339
103.8610224,2242.321767,1798.856405,1313.456393,1711.488309,1650.32922,1357.393452,1162.027702,1328.089779,1261.076842,1711.488309
103.9512126,2228.195521,1799.410076,1314.367492,,1641.65174,1330.599203,1156.275862,1325.618846,1261.113631,
104.0313443,2236.651811,1799.236858,1313.17987,1711.683996,1622.788043,1304.493568,1157.643016,1325.739639,1261.165518,1711.683996
104.1101936,2228.057784,1799.438071,1313.196626,1709.966831,1603.683664,1303.829526,1153.630834,1326.433683,1261.326102,1709.966831
104.2008954,2229.285223,,1314.279806,1716.051444,1603.427804,1308.972483,1154.734438,1325.656232,1261.373581,1716.051444
104.2776,,1799.317761,1314.06356,,,,,1326.360939,,
104.277895,,,,1705.182405,1608.72765,1308.581452,1155.356643,,1261.401554,1705.182405
104.3626158,2226.5995,1799.513361,1313.822051,1705.857529,1603.586735,1299.743241,1163.078283,1328.108678,1261.451437,1705.857529
104.4472914,,1799.829758,,,,,,1326.937321,,
104.4475743,2235.16373,,,1710.455862,1607.371093,1326.130714,1162.833714,,1261.517096,1710.455862
104.5387972,2224.694886,,,1714.347144,,,,,1261.616942,1714.347144
104.5390671,,,1314.611393,,1607.27403,1344.117833,1161.385293,1325.87174,,
104.6195786,,1800.151796,1314.143843,,,,,1326.258829,,
104.6198418,,,,,1603.285372,1343.28674,1162.579574,,,
104.6207344,2241.694003,,,1705.247093,,,,,1261.661083,1705.247093
104.7085249,,1800.86046,1313.492633,,,,,1327.655147,,
104.7087783,2228.523082,,,1699.891754,1607.900944,1320.686313,1154.696957,,1261.679418,1699.891754
104.7863545,2244.2786,1800.52926,1314.773872,1711.019564,1615.912835,1307.578659,1157.421169,1326.649164,1261.773774,1711.019564
